"CMS Page for Shipping Info","CMS-Seite für Versandinformationen"
"Display Block below Price","Anzeige zusätzlicher Info-Block unterhalb der Preisangabe"
"Display cart subtotal","Zwischensumme im Warenkorb anzeigen"
"Display Delivery time on Category Pages","Anzeige der Lieferzeit auf der Kategorieseite"
"Display Product Weight below Price","Anzeige des Gewichtes unter dem Preis"
"Display tax below Price","Steuerinformation unter Preis anzeigen"
"Display tax info and shipping cost link below the price on all pages","Unter Preis Steuer und Versandinformationen auf allen Seiten anzeigen"
"Display zero tax below Price","0% Steuerinformation unter Preis anzeigen"
"Display tax info below the price on all pages","Steuerinformation auf allen Seiten unter Preis anzeigen"
"Display zero tax info below the price on all pages","0% Steuerinformation auf allen Seiten unter Preis anzeigen"
"e.g. g, kg, lb, ...","z.B.: g, kg, pf, ..."
"No custom info","keine eigenen Informationen"
"Reference for business rules (physician, physician...)","Verweis auf berufliche Regelungen (z.B. für Ärzte, Apotheker)"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Anzeige ""incl. Versandkosten"" statt ""zzgl. Versandkosten"""
"Unit for Product Weight","Einheit für Produktgewicht"
"Order information (CMS page)","Bestellinfos (CMS-Seite)"
"Revocation terms (CMS page)","Widerrufinfos (CMS-Seite)"
"Delivery information (CMS page)","Lieferinfos (CMS-Seite)"
"How to order","So bestellen Sie bei uns"
"Click here to read the %s details about your Right of Withdrawal</a>","Hier finden Sie die %sEinzelheiten zu Ihrem Widerrufsrecht</a>"
"Click here to get the %s details on your Revocation Right</a>","Hier finden Sie die %sEinzelheiten zu Ihrem Widerrufsrecht</a>"
"Shipping cost information","Versandkosten Informationen"
"Click here to get the shipping cost information","Hier finden Sie Informationen zu den Versandkosten."
"Free shipment","Versandkostenfrei"
"Without Shipping Costs","Versandkostenfrei"
"incl. Tax","inkl. MwSt."
"excl. Tax","zzgl. MwSt."
"incl. Shipping Cost","inkl. Versandkosten"
"excl. Shipping Cost","zzgl. Versandkosten"
"Tax Free","MwSt. befreit"
"Incl. Tax","inkl. MwSt."
"Excl. Tax","zzgl. MwSt."
"Display formatted tax rate below Price","Anzeige des formatierten Steuersatzes unter des Preises"
"Display formatted tax rate info below the price on all pages","Anzeige der formatierten Steuersatzinformationen unterhalb des Preises auf allen Seiten"
"Without Shipping Costs","Ohne Versandkosten"
