"Payment Ident","Zahlungskennzeichen"
"Payment Identification","Zahlungskennzeichen"
"Virtual Payment Ident","externes Kassenzeichen"
"Payment code","Kassenzeichen"
"Fetch Price","Preis abholen"
"Sorry, there was a problem!","Es ist ein Problem aufgetreten!"
"External Kassenzeichen is missing!","Kein externes Kassenzeichen vorhanden!"
"No external Payment code available!","Kein externes Kassenzeichen verfügbar!"
"No external operator available!","Kein externes Fachverfahren verfügbar!"
"Products for external Payment code may only be invoiced individually.","Produkte für externe Kassenzeichen dürfen nur einzeln abgerechnet werden."
"Pay Operator","Bewirtschafter"
"No valid ePayBL Client configuration available","Für den ePayBL Client exisitiert keine gültige Konfiguration!"
